game_id|game_date|visit_id|home_id|visit_scores|home_scores|attendance|officials
1797152|11/05/2019 07:00 PM|486743|486730|['33', '22', '55']|['36', '38', '74']|4014|['Nick Heather', 'Keith Fogleman', 'Jerome Hall']
1797153|11/05/2019 07:00 PM|486740|486841|['22', '37', '59']|['39', '35', '74']|9685|['Josue Nieves', 'Vladimir Voyard-Tadal', 'Randy Heimerman']
1797156|11/05/2019 07:00 PM|486854|486799|['33', '41', '74']|['30', '29', '59']|2115|['Sean Campbell', 'Vasili Mallios', 'Doug Aprahamian']
1797157|11/05/2019 07:00 PM|486779|486780|['34', '39', '73']|['33', '38', '71']|1417|['Josean Vega', 'Tyler Sandmann', 'Matt Lavigne']
1797160|11/05/2019 07:00 PM|487340|486821|['26', '25', '51']|['55', '42', '97']|1599|['Johnee Gleich', 'Jamahl Ralls', 'Ed Corliss']
1797162|11/05/2019 07:00 PM|487154|486742|['29', '34', '63']|['34', '52', '86']|2324|['Andy  Ezzelle', 'Sean Gaffney', 'Joey Richardson']
1797165|11/05/2019 07:00 PM|486760|486910|['25', '46', '71']|['46', '33', '79']|11325|['Edwin Young', 'Rob Kueneman', 'Terry Wymer']
1797167|11/05/2019 07:00 PM|486989|486704|['22', '36', '58']|['36', '36', '72']|7637|['Dwayne Gladden', 'Trey Styons', 'Jerry Heater']
1797169|11/05/2019 07:00 PM|486797|486807|['36', '39', '75']|['33', '41', '74']|1776|['Ken Washington', 'Glenn Tuitt', 'Tim Fitzgerald']
1797170|11/05/2019 07:00 PM|487457|486855|['10', '17', '27']|['33', '51', '84']|1112|['Jeffrey Adams', 'Brian Dumont', 'Justin Simon']
1797171|11/05/2019 07:00 PM|486886|486980|['28', '37', '65']|['36', '40', '76']|4258|['Tony Crisp', 'Jeff Pon', 'Paul Faia']
1797172|11/05/2019 07:00 PM|486902|486968|['17', '29', '46']|['37', '47', '84']|5869|['Bill McCarthy', 'Bill Ek', 'D.J. Carstensen']
1797173|11/05/2019 07:00 PM|486697|486844|['22', '30', '3', '55']|['20', '32', '16', '68']|5620|"['Scott Arbogast', ""Brian O'Connell"", 'Raymie Styons']"
1797174|11/05/2019 07:00 PM|486706|486805|['34', '33', '67']|['37', '23', '60']|7500|['Lee Cassell', 'Bert Smith', 'Bill Covington']
1797136|11/05/2019 07:30 PM|487511|486747|['25', '30', '55']|['45', '59', '104']|1878|['John Dillon', 'Brian Hagedorn', 'Michael Wallace']
1797134|11/05/2019 07:30 PM|490078|486995|['39', '18', '57']|['42', '53', '95']|1087|['Eric Kronebusch', 'Ryan Huber', 'Doug George']
1797234|11/05/2019 07:30 PM|487231|486724|['36', '41', '77']|['48', '48', '96']|3771|['Josh White', 'Austin Jones', 'Tariq Lucas']
1797235|11/05/2019 07:30 PM|486858|486901|['39', '32', '71']|['51', '44', '95']|13633|['Brandon Cruz', 'Courtney Green', 'Steve McJunkins']
1797226|11/05/2019 07:30 PM|490250|486769|['44', '27', '71']|['50', '49', '99']|802|['Chase Shaw', 'Kurt Reinhard', 'Sean Lineberger']
1797232|11/05/2019 07:30 PM|487730|486900|['24', '22', '46']|['68', '66', '134']|812|['Lee Marelli', 'King Whetstone', 'Rod Mrakovich']
1797231|11/05/2019 07:30 PM|486959|486987|['32', '33', '65']|['25', '28', '53']|4305|['Brian Zink', 'Michael Luckie', 'Tim Comer']
1797228|11/05/2019 07:30 PM|486759|486652|['31', '49', '80']|['54', '42', '96']|5371|"['Tom Deneen', ""Andy  O'Brien"", 'Michael Kitts']"
1797239|11/05/2019 07:45 PM|487548|486728|['28', '25', '53']|['51', '50', '101']|-1|['Jesse Joseph', 'James Curran', 'Jim Bruno']
1797199|11/05/2019 08:00 PM|491712|486951|['10', '40', '50']|['39', '46', '85']|422|['John Washo', 'Mike Kashirsky', 'Bobby Daw']
1797202|11/05/2019 08:00 PM|487038|486665|['29', '42', '71']|['49', '41', '90']|2824|['Andrew Walton', 'Mick Fieldbinder', 'Kelly Davis']
1797203|11/05/2019 08:00 PM|487691|486686|['21', '29', '50']|['37', '47', '84']|1727|['Raymond Tate III', 'Derek Schulte', 'Henry Howard']
1797208|11/05/2019 08:00 PM|490813|486681|['24', '24', '48']|['50', '56', '106']|823|['Chris Koopman', 'Jeremy Trussell', 'Coy Gammon']
