season|game_id
2021|1987048
2021|1991847
2021|1991187
2021|1989470
2021|1982676
2021|1982660
2021|1982674
2021|1990853
2021|1982858
2021|1991267
2021|1990230
2021|1993168
2021|1982637
2021|1987495
2021|1989965
2021|1982691
2021|1982703
2021|1990795
2021|1988981
2021|1989680
2021|1986957
2021|1982654
2021|1982682
2021|1982685
2021|1990972
2021|1982679
2021|1990224
2021|1982684
2021|1982633
2021|1982642
2021|1991773
2021|1982680
2021|1982678
2021|1990655
2021|1990905
2021|1989606
2021|1989975
2021|1989365
2021|1992806
2021|1982681
2021|1990974
2021|1982683
2021|1982641
2021|1982739
2021|1986815
2021|1993023
2021|1991557
2021|1989797
2021|1982647
2021|1982636
2021|1982639
2021|1992803
2021|1987833
2021|1982748
2021|1992978
2021|1982697
2021|1989511
2021|1989214
2021|1992846
2021|1982644
2021|1982693
2021|1989117
2021|1991160
2021|1986978
2021|1982659
2021|1991683
2021|1990584
2021|1992889
2021|1982675
2021|1982686
2021|1982687
2021|1982688
2021|1992701
2021|1992809
2021|1992304
2021|1990264
2021|1986844
2021|1989704
2021|1982662
2021|1982638
2021|1982655
2021|1982696
2021|1982692
2021|1982689
2021|1982630
2021|1990053
2021|1990454
2021|1982699
2021|1992670
2021|1989042
2021|1989296
2021|1982652
2021|1982668
2021|1982632
2021|1982640
2021|1982656
2021|1982694
2021|1982695
2021|1982701
2021|1982663
2021|1982671
2021|1982649
2021|1982643
2021|1989328
2021|1987760
2021|1987830
2021|1993141
2021|1982690
2021|1990367
2021|1990975
2021|1982716
2021|1989973
2021|1993259
2021|1987211
2021|1982665
2021|1990368
2021|1991123
2021|1991188
2021|1989974
2021|1982717
2021|1991942
2021|1987219
2021|1982718
2021|1989977
2021|1989412
2021|1991669
2021|1990297
2021|1992008
2021|1989967
2021|1989980
2021|1993069
2021|1993258
2021|1990246
2021|1982702
2021|1989969
2021|1990361
2021|1987212
2021|1991944
2021|1982726
2021|1982746
2021|1991339
2021|1982747
2021|1991411
2021|1982735
2021|1989968
2021|1982738
2021|1990014
2021|1990660
2021|1987215
2021|1989489
2021|1990360
2021|1990127
2021|1982729
2021|1982727
2021|1989655
2021|1990453
2021|1993172
2021|1990981
2021|1993254
2021|1987834
2021|1989471
2021|1990418
2021|1982750
2021|1982730
2021|1990266
2021|1982721
2021|1982719
2021|1992994
2021|1989971
2021|1991231
2021|1993115
2021|1982749
2021|1982860
2021|1990900
2021|1990695
2021|1982723
2021|1993275
2021|1982653
2021|1988983
2021|1987801
2021|1989970
2021|1989216
2021|1987831
2021|1990528
2021|1982775
2021|1989366
2021|1982755
2021|1982724
2021|1982667
2021|1982756
2021|1982722
2021|1990625
2021|1982768
2021|1982757
2021|1989972
2021|1991035
2021|1993140
2021|1990919
2021|1992804
2021|1993276
2021|1982792
2021|1989706
2021|1982793
2021|1993273
2021|1989512
2021|1989061
2021|1987233
2021|1990122
2021|1982769
2021|1990989
2021|1993429
2021|1991617
2021|1989724
2021|1991464
2021|1991841
2021|1982771
2021|1982777
2021|1989604
2021|1989413
2021|1982785
2021|1982880
2021|1982770
2021|1991270
2021|1982802
2021|1990426
2021|1989217
2021|1982811
2021|1982804
2021|1990405
2021|1982781
2021|1990750
2021|1991169
2021|1990076
2021|1982789
2021|1990276
2021|1993260
2021|1989329
2021|1986946
2021|1982786
2021|1982783
2021|1982787
2021|1993137
2021|1989780
2021|1993329
2021|1991190
2021|1993352
2021|1987943
2021|1982814
2021|1992295
2021|1990715
2021|1991469
2021|1993363
2021|1982813
2021|1990797
2021|1987291
2021|1982819
2021|1990423
2021|1982836
2021|1989684
2021|1989657
2021|1982828
2021|1993053
2021|1986728
2021|1990578
2021|1982831
2021|1991616
2021|1982838
2021|1990424
2021|1989143
2021|1991574
2021|1993390
2021|1993274
2021|1993356
2021|1982847
2021|1991946
2021|1982829
2021|1982826
2021|1982820
2021|1990906
2021|1993328
2021|1991446
2021|1992606
2021|1989391
2021|1982827
2021|1990775
2021|1982850
2021|1990027
2021|1982855
2021|1982862
2021|1982859
2021|1982941
2021|1982857
2021|1991671
2021|1982861
2021|1988986
2021|1982848
2021|1987751
2021|1991575
2021|1991988
2021|1990840
2021|1990074
2021|1982849
2021|1989330
2021|1992009
2021|1982864
2021|1990752
2021|1993388
2021|1982856
2021|1982865
2021|1993138
2021|1982868
2021|1989118
2021|1989035
2021|1990088
2021|1991285
2021|1989040
2021|1987509
2021|1993169
2021|1993651
2021|1993652
2021|1993404
2021|1993401
2021|1982870
2021|1993405
2021|1982882
2021|1989472
2021|1982869
2021|1989050
2021|1993589
2021|1990637
2021|1982884
2021|1982872
2021|1982871
2021|1991961
2021|1982897
2021|1987234
2021|1982887
2021|1991657
2021|1992129
2021|1982866
2021|1982733
2021|1991189
2021|1982886
2021|1982876
2021|1989055
2021|1994088
2021|1982823
2021|1989034
2021|1993773
2021|1989033
2021|1993450
2021|1991599
2021|1990984
2021|1993516
2021|1982918
2021|1986784
2021|1993609
2021|1992128
2021|1982896
2021|1993406
2021|1987642
2021|1982832
2021|1982888
2021|1982895
2021|1982898
2021|1989060
2021|1989032
2021|1993566
2021|1990907
2021|1992308
2021|1992842
2021|1993214
2021|1982899
2021|1982901
2021|1987289
2021|1989221
2021|1993058
2021|1982892
2021|1982911
2021|1989978
2021|1982915
2021|1982913
2021|1982916
2021|1982903
2021|1989146
2021|1990717
2021|1982902
2021|1982917
2021|1986864
2021|1989658
2021|1991945
2021|1993712
2021|1993408
2021|1991947
2021|1982905
2021|1987786
2021|1989031
2021|1986845
2021|1991341
2021|1982912
2021|1993771
2021|1993568
2021|1982943
2021|1982946
2021|1990123
2021|1982976
2021|1993675
2021|1993171
2021|1982934
2021|1982900
2021|1982947
2021|1982933
2021|1988074
2021|1993615
2021|1993760
2021|1991096
2021|1993736
2021|1982944
2021|1990659
