team_id|team_short_name|team_long_name
490813|[]|[]
486681|['UT Martin']|['UT Martin Skyhawks']
486689|['UTSA']|['UTSA Roadrunners']
486961|['Oklahoma']|['Oklahoma Sooners']
486939|['Nicholls St.']|['Nicholls St. Colonels']
486865|['Illinois']|['Illinois Fighting Illini']
490788|[]|[]
486802|['Chicago St.']|['Chicago St. Cougars']
487278|['Spring Hill']|['Spring Hill Badgers']
486937|['New Orleans']|['New Orleans Privateers']
486737|['Ark.-Pine Bluff']|['Ark.-Pine Bluff Golden Lions']
486658|['South Fla.']|['South Fla. Bulls']
490822|[]|[]
486673|['Stetson']|['Stetson Hatters']
486811|['Columbia']|['Columbia Lions']
486882|['Lafayette']|['Lafayette Leopards']
487406|['Greensboro']|['Greensboro Pride']
486940|['Norfolk St.']|['Norfolk St. Spartans']
486825|['Drexel']|['Drexel Dragons']
486676|['Temple']|['Temple Owls']
486754|['Alabama St.']|['Alabama St. Hornets']
486851|['Gonzaga']|['Gonzaga Bulldogs; Zags']
486873|['Jackson St.']|['Jackson St. Tigers']
487001|['California Baptist']|['California Baptist Lancers']
486678|['Tennessee Tech']|['Tennessee Tech Golden Eagles']
486716|['Western Ky.']|['Western Ky. Hilltoppers']
486969|['Penn']|['Penn Quakers']
486755|['Alabama']|['Alabama Crimson Tide']
486748|['FGCU']|['FGCU Eagles']
486992|['Saint Louis']|['Saint Louis Billikens']
487275|['Okla. Christian']|['Okla. Christian Eagles']
486946|['North Texas']|['North Texas Mean Green']
486753|['Alabama A&amp;M']|['Alabama A&amp;M Bulldogs']
486677|['Tennessee St.']|['Tennessee St. Tigers']
486690|['Toledo']|['Toledo Rockets']
486700|['Valparaiso']|['Valparaiso Crusaders']
487424|['Ill. Wesleyan']|['Ill. Wesleyan Titans']
486662|['Southern Ill.']|['Southern Ill. Salukis']
486930|['Omaha']|['Omaha Mavericks']
486718|['Wichita St.']|['Wichita St. Shockers']
486892|['Loyola Maryland']|['Loyola Maryland Greyhounds']
486898|['Marquette']|['Marquette Golden Eagles']
486914|['Mississippi Val.']|['Mississippi Val. Delta Devils']
486871|['Iowa St.']|['Iowa St. Cyclones']
486981|['Rice']|['Rice Owls']
486764|['Arkansas']|['Arkansas Razorbacks']
486654|['South Carolina St.']|['South Carolina St. Bulldogs']
486905|['Memphis']|['Memphis Tigers']
491172|[]|[]
486974|['Prairie View']|['Prairie View Panthers']
487627|['Louisiana Col.']|['Louisiana Col. Wildcats']
486947|['La.-Monroe']|['La.-Monroe Warhawks']
486874|['Jacksonville St.']|['Jacksonville St. Gamecocks']
486664|['SMU']|['SMU Mustangs']
487607|['Concordia Wisconsin']|['Concordia Wisconsin Falcons']
486723|['Milwaukee']|['Milwaukee Panthers']
491676|[]|[]
486866|['UIC']|['UIC Flames']
486806|['Cleveland St.']|['Cleveland St. Vikings']
486912|['Minnesota']|['Minnesota Golden Gophers']
486765|['Little Rock']|['Little Rock Trojans']
486668|['Missouri St.']|['Missouri St. Bears']
486830|['Eastern Ill.']|['Eastern Ill. Panthers']
486685|['Texas Tech']|['Texas Tech Red Raiders']
490072|[]|[]
486670|['Louisiana']|"[""Louisiana Ragin' Cajuns""]"
486962|['Old Dominion']|['Old Dominion Monarchs']
486952|['UNI']|['UNI Panthers']
486944|['North Dakota St.']|['North Dakota St. Bison']
486877|['Kansas St.']|['Kansas St. Wildcats']
486950|['Northern Colo.']|['Northern Colo. Bears']
486687|['Texas']|['Texas Longhorns']
486967|['UTRGV']|['UTRGV Vaqueros']
486656|['South Dakota St.']|['South Dakota St. Jackrabbits']
486839|['FIU']|['FIU Panthers']
486913|['Mississippi St.']|['Mississippi St. Bulldogs']
486793|['UC Davis']|['UC Davis Aggies']
486894|['Loyola Chicago']|['Loyola Chicago Ramblers']
487103|['Quincy']|['Quincy Hawks']
486663|['SIUE']|['SIUE Cougars']
486696|['Army West Point']|['Army West Point Black Knights']
486703|['Villanova']|['Villanova Wildcats']
487644|['Texas Lutheran']|['Texas Lutheran Bulldogs']
486669|['Texas St.']|['Texas St. Bobcats']
490920|[]|[]
486751|['Abilene Christian']|['Abilene Christian Wildcats']
486849|['Georgia Tech']|['Georgia Tech Yellow Jackets']
486943|['NC State']|['NC State Wolfpack']
487179|['Oakland City']|['Oakland City Mighty Oaks']
486767|['Austin Peay']|['Austin Peay Governors']
490611|[]|[]
486739|['Kansas City']|['Kansas City Kangaroos']
486786|['Fresno St.']|['Fresno St. Bulldogs']
486965|['Oregon']|['Oregon Ducks']
486787|['Cal St. Fullerton']|['Cal St. Fullerton Titans']
486778|['BYU']|['BYU Cougars']
486822|['Denver']|['Denver Pioneers']
486809|['Colorado St.']|['Colorado St. Rams']
487288|['Davenport']|['Davenport Panthers']
486733|['Grand Canyon']|['Grand Canyon Lopes']
490927|[]|[]
486667|['Southern Utah']|['Southern Utah Thunderbirds']
487285|['Westminster (UT)']|['Westminster (UT) Griffins']
486749|['Utah Valley']|['Utah Valley Wolverines']
487191|['N.M. Highlands']|['N.M. Highlands Cowboys']
486688|['UTEP']|['UTEP Miners']
487304|['Western N.M.']|['Western N.M. Mustangs']
486935|['New Mexico St.']|['New Mexico St. Aggies']
486862|['Idaho St.']|['Idaho St. Bengals']
486725|['Wyoming']|['Wyoming Cowboys']
486847|['Ga. Southern']|['Ga. Southern Eagles']
486766|['Auburn']|['Auburn Tigers']
486734|['Kennesaw St.']|['Kennesaw St. Owls']
486815|['Creighton']|['Creighton Bluejays']
486758|['Alcorn']|['Alcorn Braves']
486819|['DePaul']|['DePaul Blue Demons']
486796|['UC Riverside']|['UC Riverside Highlanders']
486929|['Nebraska']|['Nebraska Cornhuskers, Huskers']
486993|"[""Saint Mary's (CA)""]"|"[""Saint Mary's (CA) Gaels""]"
486722|['Wisconsin']|['Wisconsin Badgers']
490553|[]|[]
486833|['Eastern Wash.']|['Eastern Wash. Eagles']
486988|['St. Francis Brooklyn']|['St. Francis Brooklyn Terriers']
486842|['Fordham']|['Fordham Rams']
486909|['Michigan St.']|['Michigan St. Spartans']
486880|['Kentucky']|['Kentucky Wildcats']
487636|['Pacific Lutheran']|['Pacific Lutheran Lutes']
486736|['Seattle U']|['Seattle U Redhawks']
490901|[]|[]
486893|['LMU (CA)']|['LMU (CA) Lions']
486970|['Pepperdine']|['Pepperdine Waves']
486792|['California']|['California Golden Bears']
487581|['Willamette']|['Willamette Bearcats']
486973|['Portland']|['Portland Pilots']
487349|['UC Santa Cruz']|['UC Santa Cruz Banana Slugs']
486649|['Santa Clara']|['Santa Clara Broncos']
486869|['Purdue Fort Wayne']|['Purdue Fort Wayne Mastodons']
486931|['UNLV']|['UNLV Rebels']
487027|['Stanislaus St.']|['Stanislaus St. Warriors']
486966|['Pacific']|['Pacific Tigers']
486794|['UC Irvine']|['UC Irvine Anteaters']
486998|['San Diego']|['San Diego Toreros']
491195|[]|[]
486863|['Idaho']|['Idaho Vandals']
487117|['Sonoma St.']|['Sonoma St. Seawolves']
486999|['San Francisco']|['San Francisco Dons']
486684|['Texas Southern']|['Texas Southern Tigers']
486997|['San Diego St.']|['San Diego St. Aztecs']
486918|['Montana St.']|['Montana St. Bobcats']
486698|['Utah St.']|['Utah St. Aggies']
491143|[]|[]
486773|['Boise St.']|['Boise St. Broncos']
486699|['Utah']|['Utah Utes']
486932|['Nevada']|['Nevada Wolf Pack']
487237|['Notre Dame de Namur']|['Notre Dame de Namur Argonauts']
486785|['CSU Bakersfield']|['CSU Bakersfield Roadrunners']
487503|['Puget Sound']|['Puget Sound Loggers']
486972|['Portland St.']|['Portland St. Vikings']
486789|['CSUN']|['CSUN Matadors']
486964|['Oregon St.']|['Oregon St. Beavers']
486837|['Florida A&amp;M']|['Florida A&amp;M Rattlers']
486661|['Southern California']|['Southern California Trojans']
486709|['Wake Forest']|['Wake Forest Demon Deacons']
486774|['Boston College']|['Boston College Eagles']
486906|['Mercer']|['Mercer Bears']
486990|"[""St. John's (NY)""]"|"[""St. John's (NY) Red Storm""]"
486738|['IUPUI']|['IUPUI Jaguars']
486783|['Butler']|['Butler Bulldogs']
486956|['Notre Dame']|['Notre Dame Fighting Irish']
486925|['North Carolina']|['North Carolina Tar Heels']
490884|[]|[]
486771|['Bethune-Cookman']|['Bethune-Cookman Wildcats']
486721|['Green Bay']|['Green Bay Phoenix']
486977|['Purdue']|['Purdue Boilermakers']
491500|[]|[]
486921|['Morgan St.']|['Morgan St. Bears']
487418|['Hiram']|['Hiram Terriers']
